top - 15:24:52 up  1:15,  2 users,  load average: 0.20, 0.34, 0.36
Tasks: 287 total,   1 running, 286 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.0 us,  0.2 sy,  0.0 ni, 97.8 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  32873596 total,  3227712 used, 29645884 free,   278480 buffers
KiB Swap:  7811068 total,        0 used,  7811068 free.  1056636 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 4143 schra447  20   0  490996 140248  98920 S   0.0  0.4   0:23.21 chrome
 4317 schra447  20   0  723576  35412  24276 S   0.0  0.1   0:05.39 gnome-term+
 4328 schra447  20   0   19704   2380   2196 S   0.0  0.0   0:00.00 gnome-pty-+
 4329 schra447  20   0   26644   4820   3864 S   0.0  0.0   0:00.17 bash
 4560 schra447  20   0  819600  96676  63660 S   0.0  0.3   0:00.64 chrome
 4587 schra447  20   0  451148  18808  15668 S   0.0  0.1   0:00.03 telepathy-+
 4593 schra447  20   0  322548  12332  10884 S   0.0  0.0   0:00.01 mission-co+
 4617 schra447  20   0  795064  15664   9840 S   0.0  0.0   0:00.04 zeitgeist-+
 4622 schra447  20   0  348744   7296   6260 S   0.0  0.0   0:00.02 zeitgeist-+
 4637 schra447  20   0  325828  14560  12328 S   0.0  0.0   0:00.04 zeitgeist-+
 4670 schra447  20   0    7460    700    620 S   0.0  0.0   0:00.00 cat
 4800 schra447  20   0  851760 135292  77916 S   0.0  0.4   0:04.40 chrome
 5311 schra447  20   0  796720  93528  65232 S   0.0  0.3   0:08.40 chrome
 5330 schra447  20   0  668428  48664  35288 S   0.0  0.1   0:02.02 chrome
 6229 schra447  20   0 1031532 276316  66880 S   0.0  0.8   1:15.46 chrome
 6523 schra447  20   0  742332  64552  49260 S   0.0  0.2   0:00.24 chrome
 7661 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/u1+
 8756 root      20   0       0      0      0 S   0.0  0.0   0:00.06 kworker/0:0
 8757 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/1:0
 9762 schra447  20   0  884888 188972  66552 S   0.0  0.6   0:06.77 chrome
 9907 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u1+
10003 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u1+
10056 schra447  20   0   30076   3484   2948 R   0.0  0.0   0:00.00 top
